"Reference","Value","Footprint","Manufacturer","MPN","Assembly","QUANTITY","DNP"
"CSH1","1nF 2kV DNP","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","","DNP; fit only after removing RSH1","1","DNP"
"J1","RJE591885401 CAT6 NO-MAGNETICS","balun_eth_rj45:RJ45_Amphenol_RJE59-188-5401","Amphenol Communications Solutions","RJE591885401","FIT","1",""
"J2","SMA_A","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","Amphenol RF","132289","FIT","1",""
"J3","SMA_B","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","Amphenol RF","132289","FIT","1",""
"J4","SMA_C","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","Amphenol RF","132289","FIT","1",""
"J5","SMA_D","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","Amphenol RF","132289","FIT","1",""
"RCT1-RCT4","0R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","ANY","0 ohm 0805","FIT; remove for floating-CT comparison","4",""
"RSH1","0R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","VARIANT; default FIT on Port-1 fixture only, DNP on Port-2 fixture","1","VARIANT"
"T1-T4","ADT2-1T+","RF_Mini-Circuits:Mini-Circuits_CD542_H2.84mm","Mini-Circuits","ADT2-1T+","FIT","4",""
"TP1","GND_RF","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","","","FIT","1",""
"TP2","RJ45_SHIELD","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","","","FIT","1",""
